0,1,2
（６００３０５）,＊注：每次查询最多显示１００条,0
限售股解禁表　荣安地产（０００５１７）,,0
（６００４７９）,实时行情：编辑短信　ＧＰ　＋　您的股票代码（如ＧＰ０００００２）　到１０６６　６６６６，　随时随地查询你的个股行情。０．１元／条（不含通讯费）云南移动０．２元／条Ｗ家诊股：编辑短信　８５　＋　您的股票代码（如８５０００００２）　到１０６６　６６６６　２０，　指明股票走势。１元／条（不含通讯费）暂不支持福建／浙江／湖南移动用户,0
（６００５７２）,实时行情：编辑短信　ＧＰ　＋　您的股票代码（如ＧＰ０００００２）　到１０６６　６６６６，　随时随地查询你的个股行情。０．１元／条（不含通讯费）云南移动０．２元／条Ｗ家诊股：编辑短信　８５　＋　您的股票代码（如８５０００００２）　到１０６６　６６６６　２０，　指明股票走势。１元／条（不含通讯费）暂不支持福建／浙江／湖南移动用户,0
（６００９８６）,实时行情：编辑短信　ＧＰ　＋　您的股票代码（如ＧＰ０００００２）　到１０６６　６６６６，　随时随地查询你的个股行情。０．１元／条（不含通讯费）云南移动０．２元／条Ｗ家诊股：编辑短信　８５　＋　您的股票代码（如８５０００００２）　到１０６６　６６６６　２０，　指明股票走势。１元／条（不含通讯费）暂不支持福建／浙江／湖南移动用户,0
（６００８２３）,实时行情：编辑短信　ＧＰ　＋　您的股票代码（如ＧＰ０００００２）　到１０６６　６６６６，　随时随地查询你的个股行情。０．１元／条（不含通讯费）云南移动０．２元／条Ｗ家诊股：编辑短信　８５　＋　您的股票代码（如８５０００００２）　到１０６６　６６６６　２０，　指明股票走势。１元／条（不含通讯费）暂不支持福建／浙江／湖南移动用户,0
（６００２６７）,实时行情：编辑短信　ＧＰ　＋　您的股票代码（如ＧＰ０００００２）　到１０６６　６６６６，　随时随地查询你的个股行情。０．１元／条（不含通讯费）云南移动０．２元／条Ｗ家诊股：编辑短信　８５　＋　您的股票代码（如８５０００００２）　到１０６６　６６６６　２０，　指明股票走势。１元／条（不含通讯费）暂不支持福建／浙江／湖南移动用户,0
重要财务指标,财务指标Ｃ抗墒找妗。埃０９００　１２．５０％　０．３３００　０．２３８０　０．１７００　０．０８００Ｃ抗删蛔什　２．３４００　３６．８４％　１．９１００　１．８１００　１．７６００　１．７１００Ｃ抗勺时竟积金　０．６８１６　２００．４０％　０．２２３６　０．２２０１　０．２２７３　０．２２６９Ｃ抗晌捶峙淅润　０．６２９０　３７．９７％　０．６４２８　０．５７１９　０．５０６６　０．４５５９Ｃ抗删营现金流　－０．４２００　３０．００％　０．５９００　－１．１０００　－０．６５００　－０．６０００＞蛔什收益率　３．３１　－－　１７．１３　１３．１２　９．８３　４．６８Ｏ售毛利率　＞焕润率　５．５８　１８．７２％　４．７９　４．８０　５．１０　４．７０Ｗ什负债率　６１．３０　－１１．７０％　６９．７３　７３．０９　７２．１０　６９．４３Ａ鞫比率　１．２２　３．５７％　１．０８　１．１２　１．１３　１．１８Ｋ俣比率　０．９１　１０．３９％　０．７７　０．８０　０．８１　０．８３＞营业绩（万元）　Ｖ饔业务收入　１９２０３３０　－６７．２７％　１９２０３３０　８０７１０８１　８０７１０８１　５８６６４７４Ｖ饔业务利润　３６３９３５　－６５．３７％　３６３９３５　１４９９５６５　１４９９５６５　１０５０７９９９芾矸延谩。保叮矗梗叮啊。６２．７０％　１６４９６０　６９２４３５　６９２４３５　４４２２５７２莆穹延谩。保保埃矗病。８１．７５％　１１０４２　９４６１４　９４６１４　６０４８８Ｓ业利润　１３９３４１　－６５．７６％　１３９３４１　４９５７１１　４９５７１１　４０６９８９＜樱和蹲适找妗。矗常福病。８９．５６％　４３８２　６９１４３　６９１４３　４１９７４Ｓ业外收入　９４８４　－６３．１３％　９４８４　５３９５１　５３９５１　２５７１９＜酰河业外支出　７５３　－７９．１５％　７５３　５４５０　５４５０　３６１２＠润总额　１４８０７１　－６５．４９％　１４８０７１　５４４２１３　５４４２１３　４２９０９６＜酰核得税　２１８５４　－６４．６７％　２１８５４　６９８８９　６９８８９　６１８６２＞焕润　１０７１４６　－６１．９７％　１０７１４６　３８６４１５　３８６４１５　２８１７１６Ｗ什负债（万元）　Ａ鞫资产　６８７９４８９　－７．８６％　６８７９４８９　６３６０７３４　６３６０７３４　７４６６６８８３て谕蹲省↓９潭ㄗ什　２１５８４５４　９．９３％　２１５８４５４　２１３７４３３　２１３７４３３　１９６３４２４Ｎ扌巫什及其他资产　４８７７４１　－２．６８％　４８７７４１　４８４０１７　４８４０１７　５０１１５３Ｗ什总计　９８４７５１５　－３．４９％　９８４７５１５　９２７８６３９　９２７８６３９　１０２０３５８６Ａ鞫负债　５６４１５７１　－１５．６１％　５６４１５７１　５９１８４９３　５９１８４９３　６６８４９２２３て诟赫　３９３０６６　－４９．０７％　３９３０６６　５４８６７５　５４８６７５　７７１７０２８赫合计　６０３６８９６　－１９．０５％　６０３６８９６　６４６９８４７　６４６９８４７　７４５７５５４９啥权益　３２３５８０２　５０．６８％　３２３５８０２　２２５６１６３　２２５６１６３　２１４７４８１８赫及股东权益总计　９８４７５１５　－３．４９％　９８４７５１５　９２７８６３９　９２７８６３９　１０２０３５８６,0
我的投资组合,本网站提供之资料或信息，仅供投资者参考，不构成投资建议。,0
３．１．４　主营业务及其结构与前一报告期相比发生重大变化的情况及原因说明,,0
