article,content,target
@小艳子kiki @光影魔术师之择日而栖 @就是爱黑巧克力 尝试新的外景风格，亲们，我有木有拍婚纱照的潜质？, ,0
 大闸蟹&amp;红宝石 幸福呀！, ,0
"@小艳子kiki @就是爱黑巧克力 2011 11 12 WEDDING: 飛越無數想念,收获在这一季， 爱，于妳我眼角心底， 升空而起......芬芳的暮光里 ", ,0
（4.）据说这是“四大才子”, ,0
(3.)中式婚礼中的抚琴桥段，很有古韵！, ,0
(2.), ,0
2011.11.11预告片：光棍节的可爱小新娘，时不时流露的羞涩和窃喜......（1.）, ,0
头发做好了 拍照留念, ,0
给刚学化妆的老妹当小白鼠，嘻嘻，等下还要编发，蛮好玩的，就是睫毛不习惯。, ,0
连日的咳嗽，觉也没办法睡，好吧，我妥协，修片打发漫漫长夜。。。@淼的媳妇 把你拍得美伐。。。@ 光影魔术师之择日而栖 @小艳子kiki, ,0
今天的10人伴郞团太喜感了！感受到很多欢乐、很多爱和感动，结婚就该这样，对吧，亲爱的@小艳子kiki ，今天表现真好，赞一记！@小灰灰的小世界忙前忙后，绝对称职的伴娘，辛苦了！喜欢“土豆”和“天鹅”的故事和美好结局, ,0
4., ,0
3., ,0
2., ,0
ORIS之夜，客串当了回谢霆锋的FANS，奉小梦媛之命必须多拍两张，嘻嘻！@小小梦媛, ,0
宇宙牌老爷表@光影魔术师之择日而栖, ,0
2011 10 15 新片尝鲜！STAY IN LOVE @小艳子kiki @淼的媳妇, ,0
忠犬八公，把我看哭了……, ,0
@Eileen_100 亲爱的，开始专心修你的片子了，被镜头里的你惊艳到，绝对！, ,0
去茶城逛逛，贴心的老板娘留给我一方温润如玉的好砚…和亲爱的吃货驱车去吃挂念很久的辣螺…掏空身上所有零钱后发现夹层里有张百元大钞… 什么都安排得刚刚好！@光影魔术师之择日而栖 @Caesar_li, ,0
记录美丽，记录幸福（2011 09 25）@光影魔术师之择日而栖 @阳光满满-镜 @小艳子kiki @短短blog @阿摄丁-乙枝梅 @Eric双 @馅儿饼的陷阱 @酸奶Lance@iShine影像小店 ..., ,0
相遇、陪伴......让我们沿着风去的弧线一路向前！（2011 09 25 记录幸福）, ,0
 困觉咯。。。这组收尾, ,0
10.06新片尝鲜 @光影魔术师之择日而栖 @小艳子kiki @梁仔_ mM, ,0
@火狸大王 @微风香水iamnotstar @短短blog @小艳子kiki @余小蔓 @iShine影像小店 @阿摄丁-乙枝梅 @光影魔术师之择日而栖  爱，在空气中弥漫，宛然透过窗的那缕金色阳光, ,0
这张发好，睡觉咯。。。, ,0
@余小蔓 @小艳子kiki @iShine影像小店 @光影魔术师之择日而栖, ,0
睡不着呀......干脆起来修片咯， 最近运气不错，一直有美女让我拍，而且在我这个拿相机的姐姐面前表现得也更自然，给力呀！修起来也赏心悦目，心情愉快！, ,0
Love never fails, ,0
Love suffers long and is kind; love does not envy...(PHOTO BY PETER XU) @小艳子kiki @余小蔓, ,0
一场完美的婚礼其实是有互动的，婚礼人的辛苦付出期待的无非是现场每一次动人瞬间的闪现，亲爱的，让我们共同祝福这对璧人永远幸福！！！ @光影魔术师之择日而栖 @小艳子kiki @余小蔓 @(亲爱的新娘MM), ,0
分享图片, ,0
分享图片, ,0
分享图片, ,0
2011 10 01, ,0
新娘非常非常   漂亮。。。, ,0
终于可以定定心心准备之后的婚礼了，这套教堂婚礼我自己很喜欢！, ,0
分享图片, ,0
超豪华KISS(20110918) @小艳子kiki @光影魔术师之择日而栖 @iShine影像小店, ,0
因爱之名（浮世间，能拥有信仰，互守承诺，是一种幸福！）, ,0
热……, ,0
又寻着一张......你拍的  @光影魔术师之择日而栖, ,0
匆匆又是一个夏天，季节轮转。。。。。。 摄于这个夏天的某一个午后， 有风有雨的日子，醉在那几茎残荷间。。。。。。 (以此留念，2011年.夏), ,0
噢哟…生化危机到底几部呀 追到4了……, ,0
Created with Photoshake for Android今天出去蛮舒服的, ,0
分享图片, ,0
你们什么时候溜出去拍的呀，玩这么HIGH也不叫我一声。。。, ,0
如此倾城的回眸，身为女人也一样被你“秒杀”，旁友，侬女儿刚100天，好伐，有必要这么迷人伐。。。人家会“鸭梨”老大老大的，好伐。。。, ,0
亲爱滴，侬个能看牢阿姨，有点搪伐牢哦。。。, ,0
温馨华美的会场布置，处处是“爱”，有木有。。。@小艳子kiki @Miss__SaSa @短短blog @光影魔术师之择日而栖, ,0
祝美丽小公主幸福永远，快乐永远！, ,0
这家伙好象这两天长胖点了, ,0
这个叫老鼠爱大米, ,0
常州恐龙园折腾一天 吃顿好的犒劳自己一下, ,0
@光影魔术师之择日而栖 @小艳子kiki 晒晒我昨天的劳动成果, ,0
蓝精灵，小时候的记忆。。。（自制合成大图， 现在是我的电脑桌面）, ,0
玫瑰玫瑰，我爱你。。。, ,0
20110814 WEDDING 尝鲜（第一片）@小艳子kiki @iShine影像小店 @ 感谢逗GG的友情赞助D700，24-70给力哦！@上海老逗, ,0
PS习作（2011 西塘 PHOTO BY PETER XU）, ,0
立秋到了，这样的色调，是不是会带给人一丝清凉？PS习作，PHOTO BY PETER XU, ,0
 太晚了，不晒了，困觉。。。, ,0
在桥上凹造型的时候，天放晴了，云淡风清。。。, ,0
下好大好大的雨。。。, ,0
一路逐“梅”而去，取道西塘， “梅”姐长袖善舞，赐霎时风雨霎时阴晴， 一行摄与被摄，乘兴而来，尽兴而归！, ,0
可以吃的, ,0
微雨西塘, ,0
我参与了投票【你最向往的乐活情侣是哪对呢？】 http://t.cn/aYmVFq 投给&quot;《绯闻女孩》中的Chuck和Blair&quot; 这1个选项, ,0
来之不易啊，有木有，有木有！//@梦媛之因缘而萌 的奔跑彩虹马的积分为9314，超过@婚礼MC王瑱 排名升至第1。http://t.cn/aW7NwU, ,0
来之不易啊，有木有，有木有！//@梦媛之因缘而萌 在奔跑彩虹马 获得了成就热身完毕，获取速度超过了微博60%的玩家，你想和TA比试一下吗？http://t.cn/aW7NwU, ,0
PS习作，拿自己的旧照折腾出一张铅笔画。嘻嘻，还不错吧。。。, ,0
左手DQ 右手抱着爆米花 5分钟后电影开始 赛尔号 我不确定会不会睡着…, ,0
你敢挑战吗？//@梦媛之因缘而萌 在十字消除棋 获得了成就一半收获，获取速度超过了微博53%的玩家，你想和TA比试一下吗？http://t.cn/aWhpWE, ,0
喂喂小兔子, ,0
帅哥教练 你能不能体谅一下 别动不动让我把腿啦腰啦转到那些它们这辈子没到过的角度呀... 哎 这把年纪了 我容易嘛我, ,0
曲径通幽, ,0
神奇的树 丝绦若瀑, ,0
行行摄摄1, ,0
一池雨荷, ,0
跑到昆山逛公园 荷花正艳, ,0
自家种的小番茄, ,0
热带风暴 我来啦, ,0
把冷饮吃出“腔调” , ,0
现在流行“抢生菜”，所谓升官发财，难怪抢到的人这么HIGH..., ,0
点燃烛火，点燃爱。。。, ,0
尝试新的风格和色调，不知道新娘会不会喜欢。。。, ,0
做案工具, ,0
发发嗲，撒撒娇......虽然不知道他们在说什么，但幸福甜蜜不言而喻。, ,0
新娘子，你肿么了？？？, ,0
我都有点羡慕我自己镜头中的“画中人”了......, ,0
再来一张，我觉得吧，女人拍女人，感觉就是不一样，对吧？, ,0
修片修累了，晒两张自恋一下。。。嘻嘻, ,0
晒张老妈的&quot;玉照&quot; 难得给她拍照 赞伐 希望老妈健健康康 天天快乐哟!, ,0
表吵 我还没困醒呢!, ,0
可爱的小脚脚, ,0
夜里的滨江 好多大轮船, ,0
魅惑的眼神，有木有，有木有。。。, ,0
今天尽在帮小寿星拍照了，再发一组刚满月的小美女和她的美女妈妈, ,0
我的外甥女小欣欣今天满两岁，祝她天天快乐，茁壮成长！, ,0
蓝带, ,0
有几个闺蜜送嫁很开心..., ,0
嫁女儿总是有些不舍, ,0
拍摄婚礼 常被自己镜头中记录下的那些瞬间感动 除了爱情 亲情 还有友情, ,0
今天帮小梦媛复习功课 从语文背到英语 单词读到课文 软软的童音听得我有点昏昏欲睡哦 , ,0
玩记自拍, ,0
锦江饭店的大堂一隅，楼梯尽头的“梦”字，必须合影留念，嘻嘻。, ,0
鲜格格，忙里偷闲凹造型，个算工作照伐？, ,0
P成这个效果时，心里有点忐忑。。。不知道新人能不能接受这样的色调。, ,0
第一次尝试PS，人造蓝天白云，嘻嘻, ,0
