0,1,2
"回试50天线 留意法兴恒指牛69432熊69059
","　　新浪财经讯 01月08日消息  港股昨日反复下跌，法兴证券建议可关注恒指牛熊证。   
　　法兴证券称港股昨日受到A股下跌影响反复回落，如参考图表，恒指过去两个交易日屡次上试去年12月初反弹高位约22,600点附近均见阻力，短线料需先行调整，后市或在50天线和22,000点关口附近整固。如看好恒指，可留意牛证69432，行使价21,100点，收回价21,600点，今年6月尾到期，杠杆约17.3倍；另外，也可留意收回价较低的牛证69431，行使价21,000点，收回价21,500点，今年6月尾到期，杠杆约15.6倍。相反，如看淡则可留意熊证69059，行使价23,200点，收回价22,700点，今年6月尾到期，杠杆约23.4倍；另外，也可留意收回价较高的熊证65971，行使价23,700点，收回价23,100点，今年4月尾到期，杠杆约14.3倍。
　　国寿股价昨日显著调整，现考验50天线约$38.5附近的承接力，如能在此觅得支持，后市可望继续沿着短期上升轨挑战$40关口。如看好国寿，可留意中期贴价认购证19294，行使价$38.88，今年4月中到期，提供6.7倍实际杠杆，引伸波幅约39.1%；另外，也可留意中期价外认购证19296，行使价$41.98，今年5月中到期，提供7倍实际杠杆，引伸波幅约39.6%。
　　港交所股价连续两个交易日急升，且有成交激增配合，如能消化$150关口附近阻力，后市可看高一线。如看好港交所，可留意中长期贴价认购证19775，行使价$148，今年6月尾到期，提供5倍实际杠杆，引伸波幅约41.4%。
　　内银股股价近期表现不强，未能受惠于近日的升浪，其中，工行和建行股价昨日均受制于50天线，前者连日来在$6.3至$6.5之间窄幅横行；后者则下试10天线约$6.6附近。如看好工行，可留意中期价外认购证19202，行使价$6.88，今年5月初到期，提供7倍实际杠杆，引伸波幅约39.3%。如看好建行，则可留意中期深入价外认购证19770，行使价$7.88，今年5月尾到期，提供7.3倍实际杠杆，引伸波幅约40.7%。
　　中石化股价近日穿梭于10天线，在$6.7至$7关口之间反复上落，短线续呈区间横行整固格局。如看好中石化，可留意中期价外认购证19437，行使价$7.4，今年4月尾到期，提供7.6倍实际杠杆，引伸波幅约38.9%。

",4
"避免四大美腿错误 轻松塑造纤纤玉腿(组图)
","　　导语：你为了拥有纤纤玉腿，用过很多方法都没成功？那就有可能犯了美腿错误了！4大常见美腿错误，看看你有没有犯了其中一两个。除此之外，纤纤玉腿的塑造也少不了饮食美腿的帮助。所以除了告诉你常见的美腿错误外，还要教你饮食美腿，让你轻松。
　　1、忌穿小鞋子。
　　经常穿小鞋不仅可能使脚部畸形，还会在脚后跟或脚掌处摩出硬皮，即使以后穿普通鞋也会有压痛感。时间长了还可能形成“鸡眼”，甚至导致脚趾或足底皮肤变形。
　　2、忌对脚部干燥不作处理。
　　尤其是秋冬季节，脚底皮肤容易干燥蜕皮和龟裂。如果不作处理，脚部皮肤会进一步恶化，导致鸡眼或趾间皮肤变白、感染化脓。因此切不可小视脚部皮肤干燥。
　　3、忌不穿或少穿袜子。
　　春夏季节，因水土或其他原因，很容易生出又痒又痛的足癣，轻者蜕皮，重者化脓奇痒。叵为方便不穿袜子，不仅可能导致皮肤溃烂，还有可能将霉菌传染到身体其他部位。
　　4、忌不注意脚部按摩。
　　女士们对于夏天穿凉残留的鞋印十分敏感。若不注意，不仅有损于脚面皮肤的洁白细润，甚至会产生皮肤过敏等不良现象。为此可适当按摩或揉搓双腿和双足，以保持脚部正常状态。

",3
"TCL国际化并购后首现正增长 国内收入占6成
","　　孙燕飚
　　在平板电视更新换代，国家“家电下乡”、“以旧换新”等政策刺激下，TCL集团(000100.SZ)今天交出了一份亮丽的2009年财报。
　　财报显示，2009年TCL集团收入442.95亿元，同比增长15.29%，实现净利润4.7亿元，同比减少6.19%，若扣除非经常性损益的净利润达到2.13亿元，同比增长213.39%。
　　不过值得关注的是，TCL集团海内外收入已经发生实质性改变。去年TCL集团国内收入达到263.38亿元，占总收入比重达到61.37%；而海外收入165.81亿元，占总收入比重为38.63%；2008年时，TCL集团的海外收入比重为44.62%，国内收入比重为55.38%。
　　财报显示，TCL多媒体业务成功实现产业升级转型，电视总销量达到1424万台，其中平板电视销量达到837万台，同比增长100.1%，占公司电视机销量近六成，而中国市场平板电视销量达到463万台，市场份额由2008年的11%上升到15.8%。Display Search数据显示，TCL液晶电视出货量从2008年全球第八位上升至2009年第七位。
　　TCL手机业务也同样走出了金融风暴的阴影。TCL通讯(02618.HK)昨日发布的2009年财报显示，全年收入43.61亿港元，同比减少4%，实现净利润2300万港元，同比减少19%，而撇除息税折摊和可换股债券影响的利润则达到1.63亿港元，同比增长78%。
　　种种迹象显示，TCL集团业绩已摆脱年初金融危机的影响，呈现出逐步好转的增长趋势。销售收入由去年上半年的170.79亿元大幅提升至全年的429.19亿元，较2008年同比增长14.86%，实现了集团国际化并购后的首次收入正增长。
　　TCL通讯在财报中表示，今年1月TCL通讯顺利完成供股集资计划，成功集资约3.58亿港元，将有助于进一步发展OEM业务。TCL通讯原CEO刘飞加盟摩托罗拉后，开始主管摩托罗拉手机ODM业务，未来摩托罗拉中低端手机将成为TCL手机业务增长的原动力。
　　TCL集团有关人士透露，TCL集团投资的液晶模组项目已实现6条生产线量产，截至2009年12月底总产量已突破197万片，2010年产能规划达到567万片，届时将实现模组项目规模化效益。LCD电视整机一体化工厂也已全面投产，新增产能500万台，使得公司目前已具备1100万台LCD整机的生产能力，进一步提升公司的整体竞争力。
　　该人士表示，今年TCL集团新的企业发展战略，“成长”将成为今后的工作主题，在全力推进多媒体和通讯为主的主营业务的同时，致力于培育医疗电子、循环经济等新的增长点，有效提升海外市场品牌地位与业务能力，构建起公司在全球平板产业领域的核心竞争力。

",5
"金山松下外拍初体验 尝鲜花絮赏析
","　　金灿灿的海滩伴随着阵阵海风，灼热的太阳丝毫没有带走我们的兴致，由IT世界网I摄会与松下联手打造的夏日金山“听海的声音 松下LUMIX时尚DC盛夏派对”在今夏开演了，这次活动小编也有兴致参与了进来，金山是个非常不错的地方，尤其这次是在海滩、美女、阳光、音乐，使得这一活动更加吸引人。在这次活动上除了我们邀请的2位身材秀丽，脸袋甜美可爱的MM以外，还来了不少美女摄友一起加入到这次活动中，大家玩得不亦乐乎。 
　　
　　
　　分发活动相机，讲述相机性能和使用技巧。 
　　
　　
　　各个都在认真自己的拍摄模特 
　　在活动上，我们这次和松下公司合作，给用户拿着松下的DC和DV进行一次烈日沙滩派对体验活动，大家可以拿着手中的松下卡片相机，在海滩上拍出自己想要的片子和自己的作品，同时感受下松下产品给我们带来的高科技魅力和产品的便携性优势所在。大家都玩得十分HAPPY。在活动中，我们都放得很开，大家尽情的享受着松下相机的乐趣和互动游戏，此外这次2位model十分养眼火爆，使活动推向了高潮。来废话不多说，让我们一起来看下这次活动的部分花絮。 
　　
　　
　　松下相机和DV在地上一展骚机风范 
　　
　　大家拿起手边的松下相机给摄友们拍个够，气氛十分活跃。 
　　
　　模特在端详试用松下卡片相机 
　　
　　
　　这次有不少美女摄友来参加这次活动，瞧，这位正拍的津津有味呢。 
　　
　　这位大叔在津津有味的记录下活动的一点一滴 
　　
　　
　　当然活动中也不会少掉恶搞的成分，您看这正在做啥？ 
　　
　　最后是活动集体照，每次活动我们必定拍照留念，让大家记住这一刻欢乐，这一份喜悦。

",5
"俄罗斯性感女间谍如何推销其互联网公司
","　　CNET科技资讯网7月6日国际报道 这些年来，我碰过一、两个间谍。我认为这和所谓的平均律有关，当然，还有我们的咖啡馆和酒吧文化。
　　年纪不大却见多视广，交游各地，这样的人一定有不为人知、隐藏的目的，对吗？因此，外型娇媚的俄罗斯美女间谍Anna Chapman，自然成为这整起事件和媒体报道的焦点。
　　Chapman被控多项罪名，包括经常带着她的笔记本到咖啡馆，传输各种机密资料给其他缺乏美国商界人脉的俄罗斯同僚。
　　然而，同样惊人的，是她互联网创业者的身分。CNN等电视频道，最近播出一段她于今年4月参加纽约创业者周所进行的访问，内容是她介绍自己创设的房地产网站。
　　Chapman的公司名为Property Finder，但她宣称自己正在注册另一个网域名称NYCRentals.com。该站号称：“…是提供现有纽约市公寓、房地产新闻和其他产物信息的大型、使用者友善的网站。我们的数据库有超过2万笔每日更新之纽约市公寓和其他类型出租房产的资料。我们的终极目标，是消除您寻找新家过程中的所有障碍。”
　　这么独特的目标，不是一个小女子能单独完成的。在这段访谈中，Chapman表示她创业的动机单纯只是想助人。她宣称自己在纽约找房子的经验，让她对现有的在线服务很失望，并且自称有投资银行家的经验，因此相当熟悉一个成功的在线房地产事业，需要哪些技术。
　　天性多疑的人，无疑将特别解读她所谓的“整合信息在同一处”的意涵。她坚定地表示，自己偏好“以表现论酬”，她相信只要听从自己的直觉，就能实现梦想。
　　Chapman就像你在鸡尾酒会、饭店酒吧或纽约上西城咖啡馆邂逅的那些女人。她散发出一种不如外表矫饰的世故。例如，她会对于“成功人士竟如此踏实”表现出一点诧异。
　　许多人在观赏这段视频时，不禁怀疑这样的美貌和谈吐竟会是俄罗斯间谍？有些人也会怀疑，是否还有其他网络界人士，可能正在进行类似的卧底工作。
　　有些人也许认为，大多数互联网创业者的言行都和Chapman在这段视频中一样。他们都试图表现自己是那个世界的一份子，并且期望某个地方的某个人，能提供足够的资金，让他们无忧无虑地加入那个他们向往的世界。(Chris Matyszczyk)

",5
"报告称美用户观看完整版视频比例激增
","　　新浪科技讯 北京时间6月10日上午消息，据国外媒体报道，美国网络视频浏览者的数量在过去几年保持稳定的增长，预期适度增长趋势将持续到2014年。市场研究公司eMarketer预计2014年的增长速度将由2010年至2012年的8%到9%下降为5.2%，但届时77%的美国互联网用户每月至少浏览一次网络视频内容。
　　2009年网络视频的浏览人数比2008年实现了较大增长，达到11.3%。同时，在线观看和下载完整版电影的观众数量也出现了大幅增长。研究公司Ipsos OTX称，2009年10月在线观看这种完整版电影的网民的比例比2008年9月增长了一倍。
　　这意味着未删节电影，甚至可能电视内容视频浏览量的增速超过网络视频的总体发展速度。
　　较长内容大幅增长背后的一个因素是Hulu的成功，根据尼尔森公司的数据，Hulu今年4月总视频流观看量仅低于YouTube，排在全美第二。此外，具有互联网浏览功能的电视机以及其他浏览设备也对该增长起了一定促进作用。市场研究公司In-Stat预期美国具有网络浏览功能且支持电视应用的设备的销售量到2014年将达到8340万台，大大高于今年的1430台。
　　网络视频观众人口统计也能帮助解释为什么互联网用户舍弃短视频而选择在线观看完整版电视节目和电影。eMarkete预计18-24岁这个年龄层的在线观看视频是最为普及的，而排名第二的25-34岁年龄层的普及率也相差不是太多。到2015年左右，这些年龄段的普及率将超过90%，达到饱和点。不仅这些年龄段的网络视频观众的数量庞大，而且他们也是最为接受在线观看电视节目内容的。市场研究公司Retrevo发现25岁以下青年中29%的人是通过网络观看全部或大部分电视节目，而全部网络视频观众中这一比例仅为8%。随着这些观众年龄增长，他们将喜欢通过网络消费电视节目内容，同时新一代的设备也将帮助他们更加容易的进行过渡。
　　eMarketer分析师保罗·弗尔纳(Paul Verna)表示，下一代的视频将是关于电视节目、电影、体育直播等专业制作的完整版内容。技术整合、人口因素以及观念改变都将促进这一趋势的发展。(贺钊)

",5
"综述：道指与标普500连续四周下滑
","
　　新浪财经讯 道指与标准普尔500指数周五低收，这两个指数已连续四周下滑。投资者在大量公司财报将于下周发布之前持谨慎态度，他们对美国经济复苏前景也感到不安。
　　Bennett金融集团首席执行官Dawn Bennett表示，“投资者采取了观望态度，因为没有买进股票的理由。”
　　截至收盘，道琼斯工业平均指数下跌了36.65点，报收8146.52点，跌幅为0.45%；纳斯达克综合指数上涨了3.48点，报收1756.03点，涨幅为0.20%，标准普尔500指数下跌了3.55点，报收879.13点，跌幅为0.40%。
　　道指本周共下跌1.6%，标准普尔500指数本周下跌1.9%，纳指本周下跌2.3%。
　　美国铝业周三收盘后公布了业绩，为第二季度财季披露季节拉开帷幕。美国铝业的业绩好于预期，令投资者欣喜，但雪佛龙周四收盘后发布的预警又令投资者慌恐。美国铝业与雪佛龙均为道指成份股。
　　强生、摩根大通、谷歌与通用电气等公司均将于下周发布财报。投资者在等待上市公司财报的披露，他们更关心上市公司对下半年业务前景的看法，市场预期总体上较为悲观。
　　石油生产商板块大幅下跌，雪佛龙表示因炼油利润率大幅下降，第二季度利润远远低于去年同期。雪佛龙下跌了2.7%，埃克森美孚下跌了1.3%。
　　密歇根大学与路透社联合发布报告称，美国7月消费者信心指数初次估算值从6月份的70.8下降至64.6，创自3月以来新低，不及市场预期。在经济处于扩张阶段的2001年底至2007年12月，该指数平均值为89.2。
　　美国商务部报告，5月份美国贸易赤字缩小9.8%，至259.6亿美元，创自1999年11月份以来新低。5月份贸易赤字的下降令市场始料不及。此前华尔街经济学家普遍预计贸易赤字将上升至294亿美元。
　　美国劳工部报告称，受到石油价格上涨推动，美国6月份进口价格指数环比上涨了3.2%，为2007年11月以来最大月度涨幅，至此美国进口价格指数已经连续第四个月上涨。
　　纽约商业交易所8月原油期货合约下跌52美分，收于59.89美元，跌幅为0.9%，过去的8个交易日中油价有7天跌收，8天累计跌幅超过16%。
　　纽约商业交易所8月黄金合约下跌3.70美元，收于912.50美元/盎司，跌幅为0.4%。黄金期货本周共下跌2%。
　　欧洲主要股指方面，德国DAX 30指数下跌1.16%，收于4,576.31点。法国CAC-40指数下跌1.4%，收于 2,983.10点。英国富时100指数下跌0.8%，收于4,127.17点。
　　美股自6月中旬以来已下跌了7%左右。
　　Northern Trust旗下个人金融服务部门首席投资官John Skjervem指出，“就业市场的低迷严重打击了消费者信心，目前利好消息太少。”
　　受高盛上调部分硬件与软件提供商评级带动，科技股小幅上扬。高盛认为上述行业已出现企稳迹象。
　　Citrix Systems上涨了2.5%，雅虎上涨了2%以上，Thomas Weisel调升该股评级。
　　国债市场有所上扬，10年期国债收益率从昨日的3.41%下降至3.30%。10年期国债收益率通常被作为制定抵押贷款利率的标准。
　　罗素2000种小盘股指数上涨了0.4%。
　　纽约证交所成交量为9.221亿股，周四成交量为10亿股。
　　美国7月消费者信心指数降至64.6
　　密歇根大学与路透社联合发布报告称，美国7月份的消费者信心指数降至3月以来新低，表明美国经济想要走出50余年来最严重的经济衰退可能仍需要一段时间。
　　报告称，美国7月消费者信心指数初次估算值从6月份的70.8下降至64.6，不及市场预期。在经济处于扩张阶段的2001年底至2007年12月，该指数平均值为89.2。
　　美国6月份的失业率攀升至1983年以来最高水平，此外，房屋价值下滑和汽油价格持续攀升，也是的美国居民财富不断缩水。今天公布的消费者信心指数表明，尽管美国经济已经开始复苏，但美国消费者开支仍然处在非常低迷的状态。美国消费者开支占到了经济增长的70%。
　　在消费者信心指数报告公布之前，多伦多BMO Capital Markets机构资深经济学家迈克尔-格里高利(Michael Gregory)表示，“消费者不仅想要看到丧失就业机会的人数不断减少，他们更想看到就业数字停止下滑。除非这种情况成为现实，否则消费者开支将受到严重阻碍。”
　　此前接受彭博新闻社调查的59位经济学家对美国7月消费者信心指数的预期中值为70，预期范围从65到72不等。2008年7月份的美国消费者信心指数为63.8。
　　在7月消费者信心指数公布之后，该指数一度下降至880.52点。自3月9日以来标准普尔500指数下降至676.53点、创12年多以来新低之后，该指数迄今已经上涨了约30%。
　　消费者信心指数报告的各分项指数当中，反映美国人对目前自身经济状况以及是否适合购买汽车等大额消费品的态度的目前状况指数从6月份的73.2下降至70.4。
　　消费者对未来6个月的预期指数从69.2下降至60.9，创08年10月以来新低。消费者的未来预期指数反映是消费者对未来开支状况的预期。
　　7月消费者信心指数报告表明，消费者预计未来12个月的通货膨胀指数将为3%；6月报告中的此项预期值为3.1%。消费者对未来5年的通货膨胀预期为3.1%，上个月报告数字为3%。美联储货币政策制定者们非常关注消费者对未来通货膨胀的预期数字。
　　路透社与密歇根大学的月度消费者信心指数初次报告数字，是在对大约300名受访者进行调查之后得出的报告；最后一次月度报告的调查对象约为500个家庭。
　　美国6月进口价格指数环比上涨3.2%
　　美国劳工部报告称，受到石油价格上涨推动，美国6月份进口价格指数环比上涨了3.2%，为2007年11月以来最大月度涨幅。至此美国进口价格指数已经连续第四个月上涨。
　　此前接受MarketWatch调查的经济学家平均预期6月进口价格指数将环比上涨2.5%。尽管6月进口价格指数上涨，但相对于去年6月份的进口价格指数仍然下降了17.4%。
　　劳工部将5月进口价格指数修正为上涨1.4%，上次估算数字为上涨1.3%。
　　今年6月份，美国进口石油产品价格上涨了20.3%，创1999年4月以来最大月度增幅，同时也标志着此项指数连续第五个月上涨。然而美国6月份进口石油价格比去年同期下降了近46%。
　　扣除石油进口价格因素不计，美国6月份进口价格指数环比上涨了0.2%。这项价格同比下降了6.5%，为劳工部自1985年3月份开始报告此项价格以来的最大年度跌幅。
　　美国出口商6月份的收受价格指数环比增长了1.1%，为2008年7月份以来的最大月度涨幅。农产品和非农产品的出口价格同步上涨。对比去年6月份，今年6月份的美国出口商收受价格指数环比下降了6.4%。
　　美国5月贸易赤字创10年新低
　　美国商务部报告，5月份美国贸易赤字缩小9.8%，至259.6亿美元，创自1999年11月份以来新低。
　　5月份贸易赤字下降令市场始料不及。此前华尔街经济学家普遍预计5月份读数扩大至294亿美元。
　　5月份出口额上升，但进口额下降。
   已有_COUNT_条评论  我要评论

",4
"i3i5隆重登场 高性能影音笔记本新品荐
","　　1月8日，英特尔在北京发布了32纳米工艺的酷睿i7、酷睿i5、酷睿i3移动处理器，各大厂商纷纷跟进更新推出了新款笔记本。全新的32纳米酷睿处理器支持超线程技术、集成内存控制器以及图形核心、支持睿频技术(酷睿i3除外)。
　　全新上市的酷睿i3、酷睿i5笔记本拥有不少优点：由于采用了32纳米制程，处理器的制造成本会有一定降低，因此新上市的笔记本不会太贵。其次，32纳米处理器所需的基片面积更小，以至于可以将集成显卡(又称图形芯片)和内存控制器也整合到处理器基片上，既充分利用了空间，又提升了数据传输速度，还有助于降低整体功耗。
　　推荐产品：惠普 Compaq Presario CQ41(参数 文章 论坛)-206TX
　　参考价格：5099元
　　当英特尔发布了其全新酷睿i系列家族处理器之后，各路PC巨头纷纷推出了旗下搭载i系列双核的新品笔记本，最先发布的有戴尔、惠普、华硕等笔记本厂商。如今紧随戴尔之后，惠普酷睿i新品强势笔记本也已登录卖场，率先到货的是Compaq Prsario家用系列的CQ41笔记本，搭载高性能i5双核的惠普 Compaq Prsario CQ41-206TX新品，仅5099元开卖。
　　新品惠普CQ41延续了CQ40(参数 图片 文章 论坛)的外观样式，只是在这款产品的右下角可以看到贴有酷睿i3/i5的标志，它采用了黑色钢琴烤漆的机身，顶盖和掌托处都采用了惠普独有的膜内漾印技术，不仅外观时尚，还增加了笔记本的耐磨耐划特性；采用了14.1英寸HP BrightView高亮镜面宽屏，1280×800的分辨率，使画面清晰自然；同时支持Altec Lansing奥特蓝星高品质扬声器。
　　接口方面，该本本拥有3个USB2.0接口、1个eSATA/USB复合接口、1个IEEE1394接口、1个VGA接口、1个S-video接口、1个RJ-45接口、耳机接口、麦克风接口、1个Express卡/54卡插槽和五合一读卡器，最值得一提的是还内置有高清HDMI高清输出接口。网络方面，则内置1000Mbps网卡，支持802.11a/b/g无线网卡。
　　配置方面，这款惠普 Compaq Prsario CQ41-206TX笔记本采用了全新的32nm新酷睿i5-430m处理器，主频2.26GHz，搭配ATI Mobility Radeon HD4350独立显卡，拥有512M显存，具有英特尔超线程技术及高清显卡等新平台技术的支持。标配2G DDR3代内存、320G高速硬盘，以及支持SuperMulti双层刻录的DVD±RW光驱，性能强悍不容小觑，预装Windows 7 Home Basic操作系统。
　　编辑点评：更高更强的平台以及硬件，以5千左右的价位上市还是很出乎意料的，相信今年会有一个好的市场销售成绩。
　　[市场报价]：惠普 Compaq Presario CQ41-206TX　5099元
　　1月8日，英特尔在北京发布了32纳米工艺的酷睿i7、酷睿i5、酷睿i3移动处理器，各大厂商纷纷跟进更新推出了新款笔记本。全新的32纳米酷睿处理器支持超线程技术、集成内存控制器以及图形核心、支持睿频技术(酷睿i3除外)。
　　全新上市的酷睿i3、酷睿i5笔记本拥有不少优点：由于采用了32纳米制程，处理器的制造成本会有一定降低，因此新上市的笔记本不会太贵。其次，32纳米处理器所需的基片面积更小，以至于可以将集成显卡(又称图形芯片)和内存控制器也整合到处理器基片上，既充分利用了空间，又提升了数据传输速度，还有助于降低整体功耗。
　　推荐产品：惠普 Compaq Presario CQ41(参数 文章 论坛)-206TX
　　参考价格：5099元
　　当英特尔发布了其全新酷睿i系列家族处理器之后，各路PC巨头纷纷推出了旗下搭载i系列双核的新品笔记本，最先发布的有戴尔、惠普、华硕等笔记本厂商。如今紧随戴尔之后，惠普酷睿i新品强势笔记本也已登录卖场，率先到货的是Compaq Prsario家用系列的CQ41笔记本，搭载高性能i5双核的惠普 Compaq Prsario CQ41-206TX新品，仅5099元开卖。
　　新品惠普CQ41延续了CQ40(参数 图片 文章 论坛)的外观样式，只是在这款产品的右下角可以看到贴有酷睿i3/i5的标志，它采用了黑色钢琴烤漆的机身，顶盖和掌托处都采用了惠普独有的膜内漾印技术，不仅外观时尚，还增加了笔记本的耐磨耐划特性；采用了14.1英寸HP BrightView高亮镜面宽屏，1280×800的分辨率，使画面清晰自然；同时支持Altec Lansing奥特蓝星高品质扬声器。
　　接口方面，该本本拥有3个USB2.0接口、1个eSATA/USB复合接口、1个IEEE1394接口、1个VGA接口、1个S-video接口、1个RJ-45接口、耳机接口、麦克风接口、1个Express卡/54卡插槽和五合一读卡器，最值得一提的是还内置有高清HDMI高清输出接口。网络方面，则内置1000Mbps网卡，支持802.11a/b/g无线网卡。
　　配置方面，这款惠普 Compaq Prsario CQ41-206TX笔记本采用了全新的32nm新酷睿i5-430m处理器，主频2.26GHz，搭配ATI Mobility Radeon HD4350独立显卡，拥有512M显存，具有英特尔超线程技术及高清显卡等新平台技术的支持。标配2G DDR3代内存、320G高速硬盘，以及支持SuperMulti双层刻录的DVD±RW光驱，性能强悍不容小觑，预装Windows 7 Home Basic操作系统。
　　编辑点评：更高更强的平台以及硬件，以5千左右的价位上市还是很出乎意料的，相信今年会有一个好的市场销售成绩。
　　[市场报价]：惠普 Compaq Presario CQ41-206TX　5099元

",5
"传诺基亚年底将推1200万像素手机
","　　随着手机的发展，三星、索尼爱立信和LG已经陆续推出了1200万像素的高端拍照手机，作为业界老大的诺基亚始终有推出千万像素级别的拍照手机，而800万像素的N86 8MP也是刚刚才与用户见面。最近有消息称，诺基亚将和卡尔-蔡司合作推出的采用1200万像素相机的手机，并加入光学变焦，而最快这款电话在2009年底就将会和大家见面。
　　值得注意的是这款1200万像素的手机还将加入光学变焦，相信也会成为新一代的拍照旗舰手机，之前也只有诺基亚N93/N93i这两款手机曾经采用了光学变焦。将推出的这款1200万像素手机也将会超越目前已经发表的三星 M8910和索尼爱立信Satio，还是非常值得期待的。
　　虽然目前并不清楚这款手机的型号和规格，但如果新的手机将是N系列家族一员的话。很可能我们会看到诺基亚N98，甚至是诺基亚N99的诞生。当然，这纯粹是猜测，我们现在也只能期待它早点和大家见面了。

",5
"中国电信视频业务子公司天翼视讯挂牌成立
","　　本报讯(记者古晓宇)上周末，中国电信旗下专营视频业务的子公司——中国电信天翼视讯传媒有限公司挂牌成立，这也是中国电信向信息服务提供商方向转变的重要一步。
　　天翼视讯公司的前身为中国电信视讯运营中心，该公司今后将负责中国电信手机、IPTV、魔屏和互联网视频等业务的全国性运营。据了解，天翼视讯由中国电信集团公司新设立的创新业务事业部归口管理，而中国电信新设立的这个部门将主要有两方面职能，一是统筹管理以互联网应用平台为核心的新业务，探索通过电子渠道拓展和融合捆绑销售的新模式；二是集约化运营中国电信在全国的各产品基地和天翼视讯公司。
　　据中国电信方面介绍，目前天翼视讯手机独立用户数达到1500万户，内容点击量超过2000万次/月；天翼视讯互联网业务有6.9万个节目内容，直播频道达113个，总时长超过2.8万小时；天翼魔屏开户用户数超过5万户，提供各类视讯内容近10万条。
　　今年初，中国电信集团总经理王晓初公布了“十二五”时期中国电信的战略定位——“智能管道的主导者、综合平台的提供者、内容和应用的参与者”。未来2到3 年，中国电信将向基于网络和平台的综合信息服务提供商转变。中国电信方面表示，天翼视讯公司除独家经营中国电信旗下视讯业务外，还将进一步开拓互联网市场空间，向网络化、视频化、媒体化、互动化方向发展，这正是中国电信向内容提供商转型的重要举措。

",5
